  file           M  x same  ids same  y rel err  y max abs
  L00_0.pt       6    True      True   5.09e-05   6.10e-05
  L00_1.pt       1    True      True   1.69e-04   1.22e-04
  L00_2.pt       1    True      True   0.00e+00   0.00e+00
  L01_0.pt       6   False      True   6.08e-03   2.75e-04
  L01_1.pt       1   False      True   9.29e-03   3.66e-04
  L01_2.pt       1   False      True   7.53e-03   1.83e-04
  L02_0.pt       6   False     False   5.85e-02   3.66e-03
  L02_1.pt       1   False      True   7.56e-03   2.44e-04
  L02_2.pt       1   False      True   8.94e-03   1.83e-04
  L03_0.pt       6   False     False   1.01e-01   7.17e-03
  L03_1.pt       1   False      True   1.07e-02   3.74e-04
  L03_2.pt       1   False      True   1.04e-02   2.44e-04
  L04_0.pt       6   False     False   3.61e-02   2.17e-03
  L04_1.pt       1   False     False   1.11e-02   3.68e-04
  L04_2.pt       1   False     False   1.65e-02   4.88e-04
  L05_0.pt       6   False     False   1.19e-01   8.06e-03
  L05_1.pt       1   False     False   1.69e-01   4.64e-03
  L05_2.pt       1   False     False   1.69e-02   7.32e-04
  L06_0.pt       6   False     False   5.41e-02   5.22e-03
  L06_1.pt       1   False     False   1.88e-02   9.77e-04
  L06_2.pt       1   False      True   1.29e-02   7.32e-04
  L07_0.pt       6   False     False   5.72e-02   4.09e-03
  L07_1.pt       1   False      True   2.18e-02   9.77e-04
  L07_2.pt       1   False      True   1.53e-02   5.49e-04
  L08_0.pt       6   False     False   2.54e-02   1.46e-03
  L08_1.pt       1   False      True   2.11e-02   7.32e-04
  L08_2.pt       1   False      True   1.61e-02   6.10e-04
  L09_0.pt       6   False     False   1.05e-01   8.24e-03
  L09_1.pt       1   False      True   2.38e-02   6.71e-04
  L09_2.pt       1   False     False   1.70e-02   5.49e-04
  L10_0.pt       6   False     False   1.02e-01   7.66e-03
  L10_1.pt       1   False     False   2.01e-02   7.02e-04
  L10_2.pt       1   False      True   1.63e-02   6.41e-04
  L11_0.pt       6   False     False   1.31e-01   6.47e-03
  L11_1.pt       1   False      True   2.09e-02   5.53e-04
  L11_2.pt       1   False     False   1.81e-01   5.25e-03
  L12_0.pt       6   False     False   8.11e-02   4.27e-03
  L12_1.pt       1   False      True   2.39e-02   5.11e-04
  L12_2.pt       1   False     False   1.98e-01   6.29e-03
  L13_0.pt       6   False     False   9.49e-02   4.84e-03
  L13_1.pt       1   False     False   2.58e-02   7.32e-04
  L13_2.pt       1   False     False   1.01e-01   2.07e-03
  L14_0.pt       6   False     False   4.02e-02   3.30e-03
  L14_1.pt       1   False     False   1.36e-01   3.54e-03
  L14_2.pt       1   False     False   8.58e-02   2.17e-03
  L15_0.pt       6   False     False   5.79e-02   1.09e-02
  L15_1.pt       1   False     False   4.94e-02   3.78e-03
  L15_2.pt       1   False      True   7.65e-02   4.56e-03
  L16_0.pt       6   False     False   2.83e-02   4.39e-03
  L16_1.pt       1   False      True   4.88e-02   2.08e-03
  L16_2.pt       1   False     False   7.90e-02   2.41e-03
  L17_0.pt       6   False     False   6.95e-02   5.30e-03
  L17_1.pt       1   False     False   4.56e-02   1.04e-03
  L17_2.pt       1   False      True   7.52e-02   2.47e-03
  L18_0.pt       6   False     False   8.30e-02   5.77e-03
  L18_1.pt       1   False     False   2.94e-02   9.31e-04
  L18_2.pt       1   False     False   5.76e-02   1.71e-03
  L19_0.pt       6   False     False   1.04e-01   5.62e-03
  L19_1.pt       1   False     False   3.30e-02   1.10e-03
  L19_2.pt       1   False     False   6.84e-02   1.83e-03
  L20_0.pt       6   False     False   9.23e-02   1.11e-02
  L20_1.pt       1   False     False   3.97e-02   1.53e-03
  L20_2.pt       1   False     False   2.31e-01   9.49e-03
  L21_0.pt       6   False     False   8.90e-02   7.97e-03
  L21_1.pt       1   False     False   3.93e-02   1.14e-03
  L21_2.pt       1   False      True   6.47e-02   2.56e-03
  L22_0.pt       6   False     False   8.02e-02   9.41e-03
  L22_1.pt       1   False      True   2.40e-02   1.04e-03
  L22_2.pt       1   False     False   6.26e-02   2.69e-03
  L23_0.pt       6   False     False   8.58e-02   9.40e-03
  L23_1.pt       1   False      True   3.21e-02   2.56e-03
  L23_2.pt       1   False     False   6.19e-02   3.30e-03
  L24_0.pt       6   False     False   2.74e-02   3.91e-03
  L24_1.pt       1   False      True   3.07e-02   9.77e-04
  L24_2.pt       1   False     False   5.39e-02   1.56e-03
  L25_0.pt       6   False     False   4.55e-02   2.08e-03
  L25_1.pt       1   False     False   2.64e-02   8.93e-04
  L25_2.pt       1   False     False   2.00e-01   7.14e-03
  L26_0.pt       6   False     False   3.19e-02   3.91e-03
  L26_1.pt       1   False     False   3.90e-02   1.16e-03
  L26_2.pt       1   False      True   8.38e-02   2.09e-03
  L27_0.pt       6   False     False   1.12e-01   5.25e-03
  L27_1.pt       1   False     False   3.60e-02   8.05e-04
  L27_2.pt       1   False     False   1.06e-01   2.93e-03
  L28_0.pt       6   False     False   4.90e-02   2.38e-03
  L28_1.pt       1   False      True   3.26e-02   7.02e-04
  L28_2.pt       1   False     False   1.53e-01   4.27e-03
  L29_0.pt       6   False     False   4.41e-02   2.44e-03
  L29_1.pt       1   False      True   3.55e-02   8.54e-04
  L29_2.pt       1   False     False   1.79e-01   5.62e-03
  L30_0.pt       6   False     False   3.89e-02   2.14e-03
  L30_1.pt       1   False      True   2.61e-02   1.01e-03
  L30_2.pt       1   False     False   1.22e-01   5.00e-03
  L31_0.pt       6   False     False   8.34e-02   1.90e-02
  L31_1.pt       1   False      True   3.07e-02   2.44e-03
  L31_2.pt       1   False     False   9.54e-02   5.72e-03
  L32_0.pt       6   False     False   4.27e-02   6.32e-03
  L32_1.pt       1   False     False   3.33e-02   1.71e-03
  L32_2.pt       1   False     False   1.99e-01   1.05e-02
  L33_0.pt       6   False     False   1.06e-01   7.39e-03
  L33_1.pt       1   False     False   3.33e-02   1.23e-03
  L33_2.pt       1   False     False   8.72e-02   3.30e-03
  L34_0.pt       6   False      True   4.22e-02   2.99e-03
  L34_1.pt       1   False      True   2.60e-02   1.01e-03
  L34_2.pt       1   False     False   5.79e-02   1.95e-03
  L35_0.pt       6   False     False   1.06e-01   1.30e-02
  L35_1.pt       1   False      True   2.72e-02   1.65e-03
  L35_2.pt       1   False     False   6.01e-02   3.54e-03
  L36_0.pt       6   False     False   7.17e-02   1.92e-02
  L36_1.pt       1   False      True   3.33e-02   3.66e-03
  L36_2.pt       1   False     False   4.03e-02   6.96e-03
  L37_0.pt       6   False     False   1.00e-01   1.84e-02
  L37_1.pt       1   False      True   2.85e-02   3.17e-03
  L37_2.pt       1   False     False   1.93e-01   1.84e-02
  L38_0.pt       6   False     False   8.55e-02   1.78e-02
  L38_1.pt       1   False     False   2.37e-02   2.20e-03
  L38_2.pt       1   False     False   1.11e-01   1.66e-02
  L39_0.pt       6   False     False   8.31e-02   2.44e-02
  L39_1.pt       1   False     False   1.89e-01   3.52e-02
  L39_2.pt       1   False      True   4.03e-02   1.11e-02
  L40_0.pt       6   False     False   1.08e-01   2.81e-02
  L40_1.pt       1   False     False   7.87e-02   1.09e-02
  L40_2.pt       1   False      True   4.18e-02   4.64e-03
  L41_0.pt       6   False     False   1.20e-01   2.08e-02
  L41_1.pt       1   False     False   3.83e-01   2.85e-02
  L41_2.pt       1   False      True   6.16e-02   4.64e-03
  L42_0.pt       6   False     False   4.87e-02   1.00e-02
  L42_1.pt       1   False     False   3.85e-02   6.10e-03
  L42_2.pt       1   False     False   5.97e-02   7.20e-03
  L43_0.pt       6   False     False   5.09e-02   5.86e-03
  L43_1.pt       1   False     False   9.54e-02   7.39e-03
  L43_2.pt       1   False      True   4.45e-02   3.57e-03
  L44_0.pt       6   False     False   8.99e-02   2.54e-02
  L44_1.pt       1   False     False   1.60e-01   2.14e-02
  L44_2.pt       1   False     False   5.18e-02   7.37e-03
  L45_0.pt       6   False     False   1.58e-01   3.17e-02
  L45_1.pt       1   False     False   8.68e-02   8.79e-03
  L45_2.pt       1   False     False   4.35e-02   4.09e-03
  L46_0.pt       6   False     False   5.15e-02   1.56e-02
  L46_1.pt       1   False     False   6.09e-02   1.17e-02
  L46_2.pt       1   False     False   4.75e-02   5.62e-03
  L47_0.pt       6   False     False   3.83e-02   2.17e-02
  L47_1.pt       1   False     False   1.94e-01   3.30e-02
  L47_2.pt       1   False      True   3.11e-02   3.91e-03

  worst layers: L41_1.pt:3.8e-01, L20_2.pt:2.3e-01, L25_2.pt:2.0e-01, L32_2.pt:2.0e-01, L12_2.pt:2.0e-01, L47_1.pt:1.9e-01
